time,count,nameOfItem,classOfItem,stateOfItem,priceOfItem
2022-08-30 18:55:15,17,iPad Air 2020 64GB WiFi,C,Není skladem,8 690 Kč
2022-08-30 18:55:21,18,iPad Air 2020 64GB WiFi,C,Není skladem,8 690 Kč
2022-08-30 18:55:26,19,iPad Air 2020 64GB WiFi,C,Není skladem,8 690 Kč
2022-08-30 18:55:34,20,iPad Air 2020 64GB WiFi,C,Není skladem,8 690 Kč
2022-08-30 18:55:40,21,iPad Air 2020 64GB WiFi,C,Není skladem,8 690 Kč
2022-08-30 21:25:46,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-09-04 12:03:56,1,"MacBook Air 13"" 2020 M1 256 GB",B,"Prodej pouze na 2 prodejnách
Z důvodu omezené dostupnosti je možný pouze osobní nákup na vybraných prodejnách",19 990 Kč
2022-09-04 12:04:07,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-09-04 12:04:16,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-09-04 12:05:18,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 2,19 990 Kč
2022-09-04 12:05:26,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-09-04 12:05:33,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-09-04 12:05:50,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 2,19 990 Kč
2022-09-04 12:05:57,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-09-04 12:06:04,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-09-04 12:06:28,1,"MacBook Air 13"" 2020 M1 256 GB",B,Omezený prodej,19 990 Kč
2022-09-04 12:06:35,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-09-04 12:06:41,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-09-04 12:14:14,1,Dell XPS 13 9370,ý,ihned k odběru,20 226
2022-09-04 12:17:37,1,Dell XPS 13 9370,ý,ihned k odběru,20 226
2022-09-04 12:19:26,1,Dell XPS 13 9370,ý,Ihned k odběru,20 226 Kč
2022-09-04 12:20:46,1,Dell XPS 13 9370,vaný,Ihned k odběru,20 226 Kč
2022-09-04 12:23:21,1,Dell XPS 13 9370,Repasovaný,Ihned k odběru,20 226 Kč
